,neighbourhood_group,room_type,price,number_of_reviews,availability_365
270,0,1,110,50,0
271,0,1,60,227,287
272,1,2,90,1,14
273,1,1,68,203,86
274,1,2,115,210,261
275,0,1,75,64,68
276,0,1,60,0,0
277,1,2,129,5,231
278,0,2,130,49,152
279,0,2,95,132,46
280,1,1,75,20,364
281,0,2,175,11,246
282,0,2,190,51,288
283,0,1,49,15,331
284,1,2,212,67,51
285,1,1,95,109,364
286,0,2,140,9,254
287,1,2,135,187,189
288,0,2,150,214,263
289,0,2,190,69,258
290,1,2,124,22,103
291,0,2,135,56,42
292,1,1,122,93,246
293,1,1,109,104,364
294,1,1,85,64,318
295,0,2,145,127,72
296,1,2,195,30,249
297,0,2,250,106,272
298,0,1,125,6,325
299,1,2,575,191,298
300,1,2,150,48,35
301,0,1,70,47,203
302,1,1,90,120,132
303,1,1,65,52,5
304,1,2,500,48,297
305,1,2,250,32,276
306,1,2,125,43,102
307,1,2,200,39,251
308,0,2,229,50,188
309,4,2,90,4,346
310,1,2,110,38,0
311,0,1,59,29,15
312,0,2,195,59,71
313,0,2,169,68,215
314,1,2,113,26,253
315,1,2,250,31,78
316,2,2,115,198,257
317,0,1,55,1,0
318,0,1,69,220,8
319,1,2,150,286,191
320,0,2,169,398,182
321,0,1,179,36,79
322,1,1,150,36,49
323,0,2,135,6,0
324,0,2,350,14,156
325,0,1,120,76,343
326,1,1,71,182,200
327,0,1,349,8,60
328,0,1,349,7,60
329,0,2,165,34,189
330,0,1,249,2,60
331,0,1,100,66,0
332,0,2,200,80,106
333,1,2,169,240,276
334,0,2,185,46,248
335,0,2,65,228,194
336,0,2,130,5,135
337,0,2,199,8,30
338,1,2,225,33,0
339,0,1,179,13,81
340,0,2,150,5,0
341,1,2,139,388,142
342,1,1,95,223,60
343,0,2,79,11,179
344,1,2,150,151,52
345,0,2,650,0,365
346,0,2,90,218,324
347,0,2,120,75,237
348,2,1,80,42,365
349,0,2,100,0,365
350,0,2,175,370,204
351,0,2,120,104,272
352,0,2,140,13,0
353,0,2,200,4,9
354,0,1,165,11,365
355,1,2,125,1,181
356,1,2,130,19,189
357,1,0,65,131,0
358,0,2,123,15,189
359,1,1,67,136,296
360,2,1,50,43,88
361,0,2,130,98,35
362,0,1,100,31,0
363,1,2,212,45,35
364,0,2,190,124,359
365,0,1,599,9,60
366,1,2,249,166,365
367,2,1,70,13,335
368,0,2,100,15,282
369,1,1,60,380,247
370,0,2,135,86,102
371,0,2,175,248,274
372,1,2,120,49,201
373,1,2,169,54,98
374,0,2,165,3,157
375,1,1,90,1,0
376,1,2,225,56,312
377,0,1,95,163,331
378,0,1,55,247,275
379,1,1,85,116,174
380,0,2,199,27,223
381,1,2,211,52,361
382,1,2,145,39,0
383,1,1,65,35,283
384,1,2,99,320,220
385,2,2,110,30,363
386,0,2,80,225,315
387,0,2,150,95,281
388,0,2,110,70,283
389,1,1,290,35,20
390,1,1,87,0,0
391,0,2,190,50,331
392,0,2,200,29,36
393,0,2,165,23,7
394,1,2,110,142,301
395,1,2,395,70,170
396,0,1,99,38,307
397,0,1,39,82,365
398,1,2,189,403,201
399,1,1,85,3,0
400,0,2,260,3,316
401,1,2,122,116,271
402,0,2,165,175,139
403,2,2,97,28,209
404,1,2,170,24,0
405,0,2,125,15,0
406,1,1,130,105,193
407,0,2,225,22,52
408,0,1,50,263,136
409,0,2,170,86,286
410,1,2,132,10,0
411,0,2,250,18,18
412,0,2,141,8,9
413,0,2,64,70,3
414,0,2,249,150,277
415,0,1,79,115,0
416,1,2,185,69,233
417,0,2,120,232,221
418,0,2,495,35,355
419,1,2,375,18,0
420,1,2,175,68,277
421,1,2,150,22,0
422,1,2,259,17,343
423,1,1,96,34,0
424,0,2,145,8,0
425,1,2,200,0,0
426,1,2,95,2,0
427,0,2,250,52,188
428,1,2,295,74,264
429,1,2,175,18,0
430,0,2,451,72,331
431,1,2,165,191,236
432,1,2,250,0,0
433,4,2,77,197,309
434,1,2,250,19,0
435,2,2,129,414,245
436,0,1,98,8,0
437,0,2,150,0,8
438,1,1,95,25,359
439,1,1,55,119,333
440,1,2,300,203,258
441,2,1,42,53,236
442,0,2,125,104,22
443,1,1,175,175,236
444,1,1,75,38,365
445,0,2,255,39,89
446,0,2,72,88,164
447,0,1,165,27,311
448,0,2,165,117,23
449,0,1,75,43,365
450,0,2,130,4,0
451,0,2,139,385,222
452,0,1,88,64,238
453,0,1,80,39,218
454,1,1,150,37,0
455,1,2,200,10,0
456,1,2,200,103,235
457,2,1,42,41,246
458,0,1,90,3,0
459,1,2,295,227,247
460,0,2,450,37,15
461,0,2,130,29,119
462,0,1,89,205,0
463,1,2,198,42,234
464,1,2,99,280,257
465,0,1,46,86,350
466,1,1,140,54,221
467,0,2,500,7,0
468,1,1,75,57,201
469,2,1,33,31,161
470,1,2,250,188,259
471,0,1,60,480,0
472,1,1,75,34,222
473,0,2,350,6,0
474,1,2,205,3,76
475,0,2,219,2,0
476,0,1,60,20,258
477,1,2,185,129,14
478,1,2,190,147,27
479,0,2,105,101,167
480,1,2,250,11,68
481,1,2,175,11,358
482,1,1,65,41,59
483,0,2,75,87,0
484,4,1,37,117,232
485,0,2,85,86,15
486,0,2,106,0,0
487,1,2,79,15,0
488,0,1,85,35,161
489,1,1,170,17,88
490,1,1,115,3,337
491,1,1,89,43,247
492,1,0,49,168,248
493,0,1,91,241,287
494,1,2,400,105,304
495,0,2,150,11,0
496,1,2,2000,30,0
497,0,2,97,31,193
498,1,1,100,49,43
499,0,2,179,23,25
500,0,2,500,20,127
501,1,2,429,18,0
502,1,2,189,90,303
503,1,1,120,99,345
504,1,2,300,6,115
505,2,2,107,21,200
506,2,2,95,24,271
507,1,2,199,111,12
508,1,2,120,86,268
509,1,2,199,66,89
510,4,2,125,271,347
511,0,1,70,227,37
512,0,1,75,80,0
513,1,1,100,5,359
514,0,2,99,187,287
515,1,2,250,2,0
516,0,2,350,1,233
517,0,2,170,67,129
518,1,2,165,63,0
519,1,1,99,89,353
520,1,1,255,1,365
521,0,2,169,177,297
522,0,2,99,90,56
523,1,2,169,39,44
524,0,2,160,42,355
525,0,2,215,33,156
526,0,2,130,179,273
527,1,1,110,81,274
528,1,1,150,43,258
529,0,1,65,52,276
530,2,1,75,160,65
531,1,2,149,23,0
532,1,1,89,35,180
533,1,1,50,225,343
534,0,1,43,401,43
535,0,1,42,72,96
536,0,1,85,46,59
537,0,2,139,83,255
538,0,1,105,211,252
539,0,2,265,15,0
540,1,2,149,122,20
541,1,1,68,295,188
542,0,2,99,207,304
543,1,1,75,50,38
544,0,1,100,273,254
545,1,0,90,0,0
546,1,2,160,25,46
547,0,2,190,105,328
548,0,1,67,72,0
549,1,2,190,8,0
550,0,2,248,58,199
551,0,1,100,8,249
552,1,1,95,172,64
553,1,1,150,330,111
554,0,2,145,123,287
555,0,1,41,55,286
556,0,2,120,87,263
557,4,1,50,258,276
558,0,2,157,4,0
559,0,2,195,31,263
560,0,2,70,128,90
561,0,2,185,14,0
562,0,2,145,30,11
563,2,1,50,258,287
564,0,2,185,228,1
565,1,2,250,60,0
566,1,1,80,9,338
567,1,2,230,179,44
568,0,2,100,9,0
569,0,1,40,1,5
570,1,1,200,25,0
571,3,1,80,2,158
572,0,1,79,152,192
573,2,2,95,24,358
574,1,2,300,45,31
575,0,2,100,7,241
576,1,1,80,19,285
577,0,2,110,24,183
578,0,2,172,8,189
579,1,2,199,29,162
580,1,2,199,14,158
581,1,1,100,33,84
582,1,1,55,99,260
583,0,1,75,59,0
584,1,2,146,142,166
585,1,1,250,0,0
586,0,2,116,22,335
587,1,1,150,82,90
588,0,1,120,23,342
589,1,2,199,32,28
590,0,2,150,24,363
591,1,1,69,59,86
592,1,1,300,6,83
593,0,2,230,18,0
594,1,2,125,3,0
595,0,1,79,115,264
596,0,1,130,154,305
597,0,1,239,164,356
598,3,2,75,76,278
599,0,2,220,116,135
600,0,2,80,234,308
601,1,2,288,120,229
602,0,2,135,82,273
603,1,2,225,13,83
604,1,1,110,59,281
605,0,2,100,63,321
606,1,1,130,52,303
607,1,1,89,278,192
608,0,2,200,1,0
609,0,2,80,35,36
610,4,1,50,235,271
611,1,2,135,115,341
612,1,1,90,109,333
613,1,1,270,1,210
614,0,2,110,305,231
615,1,2,145,102,308
616,1,2,179,83,292
617,2,1,55,19,311
618,1,1,110,61,264
619,1,2,325,89,153
620,2,1,75,65,219
621,0,2,300,40,0
622,1,1,130,80,332
623,1,2,190,136,120
624,1,2,200,100,191
625,0,2,180,125,248
626,0,2,350,40,67
627,1,2,160,0,0
628,1,2,195,139,325
629,1,2,241,0,249
630,1,2,300,2,0
631,2,2,75,49,313
632,1,2,100,8,0
633,1,2,399,0,12
634,0,1,85,124,69
635,0,2,80,5,0
636,0,1,55,147,293
637,0,1,438,43,363
638,0,2,110,8,4
639,1,2,200,37,257
640,0,1,279,120,362
641,0,2,137,24,0
642,0,2,280,5,365
643,0,2,199,242,102
644,1,1,71,229,26
645,4,1,42,108,302
646,0,2,180,181,280
647,1,2,226,34,302
648,0,1,85,5,281
649,1,2,135,5,0
650,2,2,79,60,297
651,1,2,154,238,246
652,0,2,199,34,60
653,1,2,700,131,296
654,1,2,246,6,0
655,1,1,125,4,364
656,0,1,100,7,281
657,0,2,295,125,0
658,0,1,150,0,0
659,1,2,119,49,0
660,1,1,125,11,365
661,1,2,400,0,365
662,1,2,850,107,249
663,0,1,129,241,303
664,1,1,140,176,300
665,1,1,115,151,323
666,1,2,200,49,0
667,0,2,96,13,204
668,0,2,199,33,60
669,0,2,199,24,84
670,0,2,199,59,60
671,0,1,69,2,303
672,1,2,185,16,261
673,1,1,81,72,0
674,0,2,199,24,60
675,0,2,199,23,60
676,0,2,199,43,60
677,0,2,199,30,56
678,0,2,199,39,84
679,0,1,349,8,58
680,0,1,249,3,60
681,0,1,299,6,60
682,0,1,179,4,81
683,2,1,54,56,365
684,0,1,599,7,60
685,0,2,110,2,0
686,0,2,220,178,297
687,0,1,89,30,91
688,0,2,170,190,315
689,1,2,495,25,338
690,2,2,80,81,40
691,1,2,760,7,361
692,0,1,98,216,288
693,0,2,125,31,218
694,0,1,48,53,1
695,0,1,64,247,117
696,0,2,154,233,0
697,0,2,139,135,204
698,2,1,75,20,0
699,1,2,325,46,20
700,1,2,195,10,0
701,1,1,58,143,0
702,3,2,250,21,333
703,3,1,50,0,189
704,3,2,125,8,353
705,0,2,70,4,0
706,1,2,189,314,206
707,0,2,130,18,1
708,1,2,145,11,0
709,1,1,101,51,307
710,1,1,95,20,0
711,1,2,375,8,0
712,1,2,153,59,27
713,0,2,92,54,27
714,1,1,80,10,348
715,1,2,300,153,246
716,0,2,145,110,15
717,1,1,88,69,0
718,1,2,155,1,5
719,0,2,185,24,0
720,2,1,73,95,0
721,1,2,225,129,107
722,1,1,85,171,144
723,0,1,99,20,98
724,0,1,48,17,0
725,1,2,200,8,0
726,1,2,485,11,0
727,1,2,310,5,89
728,0,2,110,0,354
729,1,2,109,36,286
730,1,2,167,16,252
731,0,2,147,5,189
732,1,2,220,0,0
733,1,2,195,68,271
734,1,2,199,89,0
735,1,1,65,10,0
736,2,1,55,38,0
737,4,1,50,15,337
738,0,1,60,20,347
739,1,1,99,25,127
740,1,2,130,35,41
741,0,2,290,1,0
742,1,2,350,64,18
743,0,1,50,26,158
744,2,1,96,244,270
745,0,1,45,21,88
746,2,1,85,270,306
747,0,1,34,16,216
748,1,2,250,24,16
749,0,1,190,30,365
750,0,1,75,5,365
751,0,2,93,115,312
752,0,1,60,9,33
753,0,1,65,45,0
754,1,2,125,19,365
755,1,2,300,5,27
756,1,2,150,203,300
757,1,2,56,20,216
758,1,2,299,49,365
759,0,1,60,6,303
760,0,2,88,7,0
761,0,1,60,35,161
762,1,2,1300,28,297
763,1,1,200,0,0
764,1,1,99,54,50
765,0,2,110,115,28
766,0,2,135,6,317
767,1,2,110,1,275
768,0,2,165,204,80
769,0,2,127,1,365
770,0,2,402,89,340
771,1,1,85,130,97
772,0,1,75,15,365
773,1,2,139,52,314
774,0,2,70,58,0
775,1,1,50,208,339
776,2,1,30,3,0
777,1,2,250,7,35
778,0,1,64,1,0
779,1,2,300,2,365
780,0,2,800,122,257
781,0,2,100,63,5
782,0,2,250,26,0
783,1,2,200,1,0
784,0,2,140,14,0
785,1,1,130,107,304
786,0,2,90,3,286
787,1,2,90,107,0
788,0,1,97,29,118
789,0,2,91,69,265
790,0,1,125,232,303
791,0,1,75,0,0
792,1,2,180,24,125
793,0,2,300,0,354
794,0,2,100,5,6
795,1,2,175,10,0
796,0,1,65,36,80
797,1,2,240,94,134
798,1,1,300,1,0
799,1,2,385,63,364
800,0,1,47,5,0
801,0,2,110,238,297
802,1,1,75,101,0
803,0,2,100,21,43
804,1,2,165,72,10
805,0,2,300,40,0
806,0,2,140,103,189
807,0,2,120,66,17
808,0,2,175,35,289
809,0,2,275,121,305
810,1,2,179,15,0
811,0,2,189,13,0
812,1,2,219,129,220
813,1,2,450,157,0
814,1,2,249,8,0
815,2,1,65,5,362
816,0,2,250,46,121
817,1,2,139,37,153
818,1,2,209,14,205
819,0,2,120,37,310
820,2,2,70,1,0
821,1,1,90,209,236
822,1,2,199,4,200
823,0,1,50,17,74
824,0,2,100,0,0
825,1,2,110,0,0
826,0,2,157,54,12
827,0,2,199,43,84
828,2,2,192,7,0
829,0,2,199,75,84
830,1,2,150,88,0
831,0,2,199,73,56
832,0,2,199,89,62
833,0,2,199,23,81
834,0,2,105,11,0
835,0,1,135,84,310
836,0,2,199,54,60
837,0,1,125,17,0
838,0,1,60,1,0
839,0,2,85,73,0
840,1,2,300,36,29
841,0,1,75,98,264
842,2,1,55,63,341
843,0,1,44,2,0
844,0,1,55,18,0
845,0,1,30,24,0
846,0,1,35,1,0
847,0,1,70,2,363
848,0,2,130,23,25
849,0,1,52,93,0
850,0,1,75,0,358
851,1,1,190,0,0
852,1,2,250,152,109
853,0,2,100,119,289
854,0,2,130,9,188
855,1,1,140,44,260
856,0,1,75,158,168
857,1,2,150,12,0
858,1,2,90,51,311
859,1,2,295,0,146
860,1,2,150,11,2
861,0,2,180,236,242
862,0,1,135,16,0
863,0,1,65,123,46
864,1,1,99,14,365
865,0,1,149,65,364
866,3,1,59,50,352
867,1,1,75,33,301
868,1,1,75,30,322
869,0,1,75,13,298
870,1,2,109,18,285
871,0,2,225,1,342
872,1,1,86,216,250
873,2,1,52,98,326
874,0,1,100,61,90
875,1,2,99,13,289
876,1,1,89,136,193
877,0,2,135,39,293
878,1,2,199,65,155
879,0,2,89,62,189
880,1,1,110,47,248
881,0,2,120,42,238
882,0,1,59,207,284
883,0,1,49,72,343
884,0,1,79,22,268
885,1,2,135,25,249
886,0,2,185,215,291
887,0,2,225,26,0
888,1,2,245,18,0
889,1,2,115,18,31
890,0,2,325,320,0
891,0,1,95,160,79
892,1,1,120,78,0
893,1,2,499,64,157
894,0,1,75,219,277
895,1,1,109,66,353
896,0,2,160,25,0
897,1,2,219,102,280
898,1,2,159,32,7
899,0,1,180,15,266
900,1,2,150,1,0
901,1,2,106,12,271
902,1,2,299,19,101
903,1,2,179,297,205
904,0,2,165,12,343
905,0,2,500,9,0
906,1,2,250,9,190
907,1,1,87,46,310
908,0,1,79,42,52
909,1,1,75,118,312
910,0,2,200,53,0
911,1,1,80,15,329
912,0,2,115,64,333
913,0,2,115,51,327
914,0,2,120,79,349
915,1,1,125,202,217
916,1,2,387,23,0
917,1,1,95,62,80
918,1,2,99,36,0
919,1,2,121,16,351
920,1,2,350,24,362
921,1,1,75,77,144
922,1,1,95,110,43
923,1,1,89,56,365
924,1,1,195,7,129
925,1,1,160,0,0
926,0,2,70,19,0
927,1,1,100,7,0
928,1,2,140,53,0
929,1,2,189,265,355
930,0,1,160,0,0
931,0,2,178,8,280
932,0,2,145,46,38
933,0,2,125,6,31
934,1,2,265,75,324
935,0,1,77,11,365
936,1,1,60,5,0
937,1,2,129,132,171
938,1,2,199,41,36
939,0,1,92,34,332
940,0,2,185,34,0
941,1,2,110,27,192
942,0,1,65,30,139
943,1,1,135,214,167
944,1,0,115,12,0
945,1,1,175,6,10
946,1,1,3000,0,365
947,0,1,72,156,110
948,0,1,80,30,0
949,0,2,125,1,0
950,0,1,120,3,242
951,0,1,94,272,22
952,0,1,56,63,0
953,1,2,549,58,200
954,0,2,190,5,0
955,0,1,129,63,87
956,0,2,85,268,202
957,3,1,20,80,226
958,1,2,145,22,0
959,1,2,200,13,327
960,0,2,125,23,262
961,0,2,50,3,0
962,1,1,160,10,359
963,1,1,180,14,348
964,1,1,100,20,0
965,0,1,70,2,0
966,4,2,120,47,318
967,3,1,110,6,363
968,1,1,105,93,70
969,1,2,250,116,0
970,1,1,74,15,90
971,1,2,165,70,15
972,1,1,99,4,335
973,1,2,125,128,0
974,2,1,75,59,0
975,2,0,45,8,364
976,0,2,159,106,34
977,0,1,45,15,242
978,1,1,104,133,147
979,1,2,225,27,169
980,1,1,100,61,188
981,0,1,90,2,89
982,2,1,75,16,189
983,1,2,350,0,0
984,1,2,135,38,253
985,1,1,125,25,311
986,1,2,225,93,0
987,1,1,85,6,363
988,1,2,200,30,224
989,0,2,250,17,5
990,1,1,90,67,301
991,0,2,130,53,0
992,0,2,90,32,50
993,0,2,298,131,296
994,1,2,300,19,84
995,1,1,125,0,365
996,1,1,125,74,212
997,1,1,145,165,181
998,1,2,147,16,0
999,0,1,123,269,158
1000,0,2,88,243,217
1001,2,2,215,59,335
1002,1,2,225,134,231
1003,1,2,269,81,122
1004,0,2,145,7,270
1005,0,1,75,112,330
1006,1,2,145,0,0
1007,0,2,229,92,321
1008,0,2,300,23,312
1009,1,1,100,67,345
1010,0,2,75,8,2
1011,1,2,225,244,252
1012,0,1,120,62,15
1013,0,2,160,125,169
1014,0,2,125,58,212
1015,0,2,95,9,0
1016,0,1,119,137,296
1017,1,2,275,16,167
1018,1,2,160,36,365
1019,0,2,500,54,365
1020,1,2,175,1,0
1021,0,2,87,39,258
1022,0,2,160,145,257
1023,1,1,125,28,364
1024,0,2,90,206,236
1025,1,2,200,4,0
1026,0,2,250,37,54
1027,1,1,99,27,189
1028,1,2,325,18,364
1029,1,1,99,134,265
1030,1,2,325,197,207
1031,1,2,129,5,0
1032,0,2,130,5,196
1033,0,2,190,8,0
1034,0,1,55,62,57
1035,1,1,60,13,0
1036,1,2,250,8,0
1037,1,2,275,50,277
1038,2,1,50,69,0
1039,0,2,125,41,10
1040,0,2,150,89,247
1041,0,2,70,40,273
1042,0,2,138,106,189
1043,1,2,265,33,0
1044,1,1,145,2,365
1045,1,2,151,19,249
1046,1,2,208,100,310
1047,0,2,200,16,291
1048,1,1,110,64,74
1049,1,1,58,17,289
1050,1,1,55,7,0
1051,0,2,105,15,219
1052,1,2,350,4,0
1053,0,2,150,87,73
1054,0,1,55,10,97
1055,0,2,299,0,149
1056,2,2,77,289,85
1057,1,2,125,10,0
1058,1,2,395,39,50
1059,0,2,189,7,303
1060,4,1,49,23,333
1061,1,2,90,22,239
1062,1,1,100,1,6
1063,0,2,299,5,0
1064,2,1,75,30,180
1065,2,1,69,55,318
1066,0,1,90,155,328
1067,1,1,94,95,18
1068,0,1,80,118,353
1069,4,2,100,82,63
1070,0,1,39,105,34
1071,1,2,250,73,284
1072,0,1,55,28,333
1073,0,1,110,0,0
1074,0,2,200,3,0
1075,0,2,142,120,222
1076,0,1,70,339,333
1077,0,2,260,7,0
1078,1,2,225,13,195
1079,0,1,59,6,0
1080,1,1,65,3,0
1081,1,2,99,11,249
1082,1,2,239,67,78
1083,1,2,50,123,21
1084,1,1,65,109,0
1085,1,2,139,23,0
1086,1,2,174,269,167
1087,1,2,315,7,0
1088,1,1,75,36,47
1089,1,2,210,178,0
1090,0,1,55,132,195
1091,0,2,229,12,319
1092,1,2,150,23,0
1093,1,2,129,47,177
1094,1,2,100,8,0
1095,0,2,200,17,67
1096,1,1,89,4,0
1097,0,2,250,19,311
1098,0,1,65,2,0
1099,0,2,68,35,0
1100,0,2,235,108,144
1101,0,2,100,182,220
1102,1,2,311,31,28
1103,2,0,39,454,353
1104,1,1,100,199,19
1105,1,1,1300,0,0
1106,1,2,210,230,319
1107,0,1,55,101,170
1108,1,1,65,8,0
1109,0,2,165,154,157
1110,1,1,89,69,80
1111,1,2,500,3,0
1112,0,2,145,3,0
1113,0,1,110,12,330
1114,1,2,180,13,0
1115,0,2,115,10,0
1116,0,2,82,5,311
1117,2,1,70,144,340
1118,0,2,155,10,0
1119,1,2,117,0,0
1120,0,2,100,17,0
1121,1,2,89,57,0
1122,1,2,89,70,4
1123,1,2,99,62,8
1124,1,2,155,17,0
1125,1,1,85,439,238
1126,1,1,80,48,96
1127,1,2,135,134,236
1128,0,2,150,2,0
1129,1,2,380,16,0
1130,0,2,450,31,30
1131,0,2,145,36,342
1132,2,1,80,1,330
1133,0,2,225,338,225
1134,1,1,99,117,0
1135,1,2,125,261,212
1136,1,2,80,32,365
1137,0,1,100,112,12
1138,0,1,55,22,297
1139,1,2,328,319,112
1140,0,2,142,69,261
1141,0,2,350,10,0
1142,0,2,300,24,23
1143,0,2,105,3,30
1144,0,1,125,17,331
1145,0,2,225,13,0
1146,0,2,92,58,0
1147,1,2,185,62,0
1148,0,2,226,203,38
